nid,day,rid,status,times,Mon,Tue,Wed,Thu,Fri,Sat,Sun,times
185,4,3,0,0.8511,0,0,0,0,1,0,0,85.11
186,4,3,1,0.8723,0,0,0,0,1,0,0,87.23
187,4,3,1,0.8936,0,0,0,0,1,0,0,89.36
188,4,3,1,0.9149,0,0,0,0,1,0,0,91.49
189,4,3,0,0.9362,0,0,0,0,1,0,0,93.62
190,4,3,0,0.9574,0,0,0,0,1,0,0,95.74
191,4,3,0,0.9787,0,0,0,0,1,0,0,97.87
192,4,3,0,1,0,0,0,0,1,0,0,100
193,5,3,0,0,0,0,0,0,0,1,0,0
194,5,3,0,0.0213,0,0,0,0,0,1,0,2.13
195,5,3,0,0.0426,0,0,0,0,0,1,0,4.26
196,5,3,0,0.0638,0,0,0,0,0,1,0,6.38
197,5,3,0,0.0851,0,0,0,0,0,1,0,8.51
198,5,3,0,0.1064,0,0,0,0,0,1,0,10.64
199,5,3,0,0.1277,0,0,0,0,0,1,0,12.77
200,5,3,0,0.1489,0,0,0,0,0,1,0,14.89
201,5,3,0,0.1702,0,0,0,0,0,1,0,17.02
202,5,3,0,0.1915,0,0,0,0,0,1,0,19.15
203,5,3,0,0.2128,0,0,0,0,0,1,0,21.28
204,5,3,0,0.234,0,0,0,0,0,1,0,23.4
205,5,3,0,0.2553,0,0,0,0,0,1,0,25.53
206,5,3,0,0.2766,0,0,0,0,0,1,0,27.66
207,5,3,0,0.2979,0,0,0,0,0,1,0,29.79
208,5,3,0,0.3191,0,0,0,0,0,1,0,31.91
209,5,3,0,0.3404,0,0,0,0,0,1,0,34.04
210,5,3,0,0.3617,0,0,0,0,0,1,0,36.17
211,5,3,1,0.383,0,0,0,0,0,1,0,38.3
212,5,3,1,0.4043,0,0,0,0,0,1,0,40.43
213,5,3,2,0.4255,0,0,0,0,0,1,0,42.55
214,5,3,2,0.4468,0,0,0,0,0,1,0,44.68
215,5,3,2,0.4681,0,0,0,0,0,1,0,46.81
216,5,3,2,0.4894,0,0,0,0,0,1,0,48.94
217,5,3,2,0.5106,0,0,0,0,0,1,0,51.06
218,5,3,1,0.5319,0,0,0,0,0,1,0,53.19
219,5,3,1,0.5532,0,0,0,0,0,1,0,55.32
220,5,3,1,0.5745,0,0,0,0,0,1,0,57.45
221,5,3,1,0.5957,0,0,0,0,0,1,0,59.57
222,5,3,1,0.617,0,0,0,0,0,1,0,61.7
223,5,3,1,0.6383,0,0,0,0,0,1,0,63.83
224,5,3,1,0.6596,0,0,0,0,0,1,0,65.96
225,5,3,1,0.6809,0,0,0,0,0,1,0,68.09
226,5,3,1,0.7021,0,0,0,0,0,1,0,70.21
227,5,3,1,0.7234,0,0,0,0,0,1,0,72.34
228,5,3,1,0.7447,0,0,0,0,0,1,0,74.47
229,5,3,1,0.766,0,0,0,0,0,1,0,76.6
230,5,3,1,0.7872,0,0,0,0,0,1,0,78.72
231,5,3,1,0.8085,0,0,0,0,0,1,0,80.85
232,5,3,0,0.8298,0,0,0,0,0,1,0,82.98
233,5,3,0,0.8511,0,0,0,0,0,1,0,85.11
234,5,3,0,0.8723,0,0,0,0,0,1,0,87.23
235,5,3,0,0.8936,0,0,0,0,0,1,0,89.36
236,5,3,0,0.9149,0,0,0,0,0,1,0,91.49
237,5,3,0,0.9362,0,0,0,0,0,1,0,93.62
238,5,3,0,0.9574,0,0,0,0,0,1,0,95.74
239,5,3,0,0.9787,0,0,0,0,0,1,0,97.87
240,5,3,0,1,0,0,0,0,0,1,0,100
